Date,Result
12/13/2012,0.05
12/13/2012,0.05
12/13/2012,0.05
1/25/2013,0.05
1/25/2013,0.05
1/25/2013,0.05
1/25/2013,0.05
2/8/2013,0.05
2/8/2013,0.05
2/18/2013,0.0005
2/19/2013,0.0005
2/20/2013,0.0005
3/6/2013,0.0005
3/8/2013,0.0005
3/8/2013,0.0005
3/8/2013,0.0005
3/8/2013,0.0005
2/3/2014,0.05
2/3/2014,0.05
2/27/2014,0.5366
2/28/2014,0.05
2/28/2014,0.05
3/1/2014,0.05
3/1/2014,0.05
3/1/2014,0.05
3/1/2014,0.05
3/26/2014,0.007
3/26/2014,0.007
4/2/2014,0.05
4/2/2014,0.05
4/2/2014,0.05
,
